,k,mean,pc1_mean,pc2_mean,pc3_mean,std,pc1_std,pc2_std,pc3_std
21,22,0.8875,0.7875,0.8024999999999999,0.8875,0.0418330013267038,0.10338036564067665,0.08492643875731515,0.0418330013267038
22,23,0.885,0.7875,0.7999999999999999,0.885,0.04430011286667337,0.10338036564067665,0.08909264840602729,0.04430011286667337
23,24,0.885,0.7875,0.8074999999999999,0.885,0.03984344362627308,0.10338036564067665,0.09171968163922072,0.03984344362627308
24,25,0.8875,0.7875,0.805,0.8875,0.04107919181288747,0.10338036564067665,0.09572094859538324,0.04107919181288747
25,26,0.885,0.7875,0.8099999999999999,0.885,0.03984344362627308,0.10338036564067665,0.09266876496425318,0.03984344362627308
26,27,0.8875,0.7875,0.8049999999999999,0.8875,0.04107919181288747,0.10338036564067665,0.09273618495495704,0.04107919181288747
27,28,0.8875,0.7875,0.8049999999999999,0.8875,0.04107919181288747,0.10338036564067665,0.09273618495495704,0.04107919181288747
28,29,0.8825,0.7875,0.8074999999999999,0.8825,0.043732139211339754,0.10338036564067665,0.09440603794249604,0.043732139211339754
29,30,0.8800000000000001,0.7875,0.8074999999999999,0.8800000000000001,0.045825756949558406,0.10338036564067665,0.09440603794249604,0.045825756949558406
30,31,0.8825000000000001,0.7875,0.8074999999999999,0.8825000000000001,0.04782781617427249,0.10338036564067665,0.09440603794249604,0.04782781617427249
31,32,0.8800000000000001,0.79,0.8049999999999999,0.8800000000000001,0.045825756949558406,0.10470195795685962,0.09273618495495704,0.045825756949558406
32,33,0.8825000000000001,0.7925000000000001,0.8074999999999999,0.8825000000000001,0.04782781617427249,0.10624264680437889,0.09440603794249604,0.04782781617427249
33,34,0.8825000000000001,0.7925000000000001,0.8074999999999999,0.8825000000000001,0.04782781617427249,0.10624264680437889,0.09440603794249604,0.04782781617427249
34,35,0.8800000000000001,0.7949999999999999,0.8099999999999999,0.8800000000000001,0.045825756949558406,0.10565273304557721,0.09062284480195927,0.045825756949558406
35,36,0.8825000000000001,0.7949999999999999,0.8074999999999999,0.8825000000000001,0.04782781617427249,0.10565273304557721,0.09440603794249604,0.04782781617427249
36,37,0.8800000000000001,0.7949999999999999,0.8074999999999999,0.8800000000000001,0.045825756949558406,0.10565273304557721,0.09440603794249604,0.045825756949558406
37,38,0.875,0.7949999999999999,0.8074999999999999,0.875,0.046097722286464436,0.10565273304557721,0.09440603794249604,0.046097722286464436
38,39,0.8724999999999999,0.7949999999999999,0.8099999999999999,0.8724999999999999,0.04898979485566355,0.10565273304557721,0.09062284480195927,0.04898979485566355
39,40,0.8675,0.7924999999999999,0.8074999999999999,0.8675,0.050373604199024695,0.10682930309610748,0.09440603794249604,0.050373604199024695
40,41,0.8724999999999999,0.7949999999999999,0.8099999999999999,0.8724999999999999,0.05442885264269309,0.10565273304557721,0.09062284480195927,0.05442885264269309
41,42,0.8675,0.7949999999999999,0.8099999999999999,0.8675,0.050373604199024695,0.10565273304557721,0.09062284480195927,0.050373604199024695
42,43,0.8724999999999999,0.7949999999999999,0.8099999999999999,0.8724999999999999,0.05442885264269309,0.10565273304557721,0.09062284480195927,0.05442885264269309
43,44,0.865,0.7924999999999999,0.8099999999999999,0.865,0.05385164807134504,0.10682930309610748,0.09062284480195927,0.05385164807134504
44,45,0.8675,0.7949999999999999,0.8099999999999999,0.8675,0.056236109396009974,0.10565273304557721,0.09062284480195927,0.056236109396009974
45,46,0.865,0.7924999999999999,0.8099999999999999,0.865,0.05442885264269313,0.10682930309610748,0.09062284480195927,0.05442885264269313
